"","Country","Year","Debt","RGDP","GDP","dRGDP","GDPI","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2","Infl","Debt1","Debt2","Debtalt","GDP2alt","GDPalt","RGDP2alt","debtgdp","GDP3","GNI","lRGDP","lRGDP1","lRGDP2"
"54","Australia",1999,82327,NA,NA,4.40172373425132,75.51377,NA,622932,406196,824925,NA,NA,1.465,NA,NA,NA,NA,NA,NA,13.2160492638041,NA,NA,NA,390635,790145
"55","Australia",2000,74370.11595,NA,NA,3.42612964814983,78.48657,NA,669638,414058,853188,NA,NA,4.475,NA,NA,NA,NA,NA,NA,11.1060178708496,NA,NA,NA,406196,824925
"56","Australia",2001,65712.40985,NA,NA,2.08934021575549,81.65081,NA,711190,429694,871014,NA,NA,4.381,NA,NA,NA,NA,NA,NA,9.23978259677442,NA,NA,NA,414058,853188
"57","Australia",2002,62461.83434,NA,NA,4.24734849267636,83.60688,NA,759158,443202,908009,NA,NA,3.003,NA,NA,NA,NA,NA,NA,8.22777792501693,NA,NA,NA,429694,871014
"58","Australia",2003,56924.98534,NA,NA,2.96593976491422,86.59272,NA,809590,461200,934940,NA,NA,2.771,NA,NA,NA,NA,NA,NA,7.0313350387233,NA,NA,NA,443202,908009
"59","Australia",2004,54538.1137,NA,NA,3.84227864889726,89.57381,NA,869639,472265,970863,NA,NA,2.344,NA,NA,NA,NA,NA,NA,6.27135095137178,NA,NA,NA,461200,934940
"60","Australia",2005,55014.02318,NA,NA,2.75919465465262,93.59034,NA,933705,486853,997651,NA,NA,2.669,NA,NA,NA,NA,NA,NA,5.89201334254395,NA,NA,NA,472265,970863
"61","Australia",2006,54058.32076,NA,NA,2.84037203390766,97.7068,NA,1002460,498771,1025988,NA,NA,3.538,NA,NA,NA,NA,NA,NA,5.39256636274764,NA,NA,NA,486853,997651
"62","Australia",2007,53252.85866,NA,NA,4.04878029762532,101.69195,NA,1085590,NA,1067528,NA,NA,2.332,NA,NA,NA,NA,NA,NA,4.90543010344605,NA,NA,NA,498771,1025988
"63","Australia",2008,55431.55837,NA,NA,2.35422396414895,108.44819,NA,1184970,NA,1092660,NA,NA,4.353,NA,NA,NA,NA,NA,NA,4.67788706633923,NA,NA,NA,NA,1067528
"64","Australia",2009,101136.25205,NA,NA,0.732249739168633,109.15168,NA,1201390,NA,1100661,NA,NA,1.629,NA,NA,NA,NA,NA,NA,8.41826984160015,NA,NA,NA,NA,1092660
"116","Austria",1999,NA,162410,NA,3.34,NA,2724240,197979,NA,NA,NA,NA,0.515,1623357.632,117974,NA,NA,NA,NA,59.5891483440163,NA,NA,157233,NA,NA
"117","Austria",2000,NA,167878,NA,3.651,NA,2855660,207529,NA,NA,NA,NA,1.959,1660950.772,120706,NA,NA,NA,NA,58.1634373991105,NA,NA,162410,NA,NA
"118","Austria",2001,NA,169244,NA,0.52,NA,2924040,212499,NA,NA,NA,NA,2.295,1670679.304,121413,NA,NA,NA,NA,57.1357982861096,NA,NA,167878,NA,NA
"119","Austria",2002,NA,170755,NA,1.647,NA,3011410,218848,NA,NA,NA,NA,1.7,1705630.466,123953,NA,NA,NA,NA,56.6388543646732,NA,NA,169244,NA,NA
"120","Austria",2003,NA,172763,NA,0.801,NA,3072710,223302,NA,NA,NA,NA,1.296,1745879.343,126878,NA,NA,NA,NA,56.8190163993157,NA,NA,170755,NA,NA
"121","Austria",2004,NA,176795,NA,2.545,NA,3203150,232782,NA,NA,NA,NA,1.95,1865222.425,135551,NA,NA,NA,NA,58.2308769578404,NA,NA,172763,NA,NA
"122","Austria",2005,NA,180461,NA,2.46,NA,3363750,243585,NA,NA,NA,NA,2.108,1944729.439,141329,NA,NA,NA,NA,58.0204035552271,NA,NA,176795,NA,NA
"123","Austria",2006,NA,186320,NA,3.46,NA,3540450,256162,NA,NA,NA,NA,1.686,1998889.98,145265,NA,NA,NA,NA,56.7082549324256,NA,NA,180461,NA,NA
"124","Austria",2007,NA,NA,NA,3.547,NA,3726800,270782,NA,NA,NA,NA,2.203,2027937.973,147376,NA,NA,NA,NA,54.4260696796685,NA,NA,186320,NA,NA
"125","Austria",2008,NA,NA,NA,2.048,NA,3884350,281868,NA,NA,NA,NA,3.223,2228769.551,161971,NA,NA,NA,NA,57.4634225949735,NA,NA,NA,NA,NA
"126","Austria",2009,NA,NA,NA,-3.824,NA,NA,272627,NA,NA,NA,NA,0.47,2332164.446,169485,NA,NA,NA,NA,62.167356864874,NA,NA,NA,NA,NA
"179","Belgium",1999,246755,NA,NA,3.37978897477853,NA,NA,238088,NA,274830,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.64025066362,NA,NA,NA,NA,265845
"180","Belgium",2000,251061,NA,NA,3.7958010406433,NA,NA,251754,NA,285262,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7247312853023,NA,NA,NA,NA,274830
"181","Belgium",2001,257164,NA,NA,0.765261408810147,NA,NA,258893,NA,287445,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3321565279865,NA,NA,NA,NA,285262
"182","Belgium",2002,262753,NA,NA,1.49489467550314,NA,NA,267606,NA,291742,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1865130079296,NA,NA,NA,NA,287445
"183","Belgium",2003,263019,NA,NA,1.01322401299779,NA,NA,274738,NA,294698,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7344815788133,NA,NA,NA,NA,291742
"184","Belgium",2004,269780,NA,NA,2.78250955215169,NA,NA,288999,NA,302898,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.3498039785605,NA,NA,NA,NA,294698
"185","Belgium",2005,277930,NA,NA,2.17036758248652,NA,NA,302620,NA,309472,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8412530566387,NA,NA,NA,NA,302898
"186","Belgium",2006,278600,NA,NA,3.0151354565195,NA,NA,318803,NA,318803,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3893909404868,NA,NA,NA,NA,309472
"187","Belgium",2007,285810,NA,NA,2.59878357480952,NA,NA,334902,NA,327088,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3413834494867,NA,NA,NA,NA,318803
"188","Belgium",2008,310830,NA,NA,0.969158147042992,NA,NA,343941,NA,330258,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3730581698605,NA,NA,NA,NA,327088
"189","Belgium",2009,324640,NA,NA,-3.18236045758165,NA,NA,336028,NA,319748,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6109967026557,NA,NA,NA,NA,330258
"243","Canada",1999,648389,NA,NA,2.02577059008238,NA,982.441,1240430,664604,1832542,NA,NA,1.744,NA,NA,NA,NA,NA,NA,52.2713091427973,NA,NA,NA,629755,1796156
"244","Canada",2000,648212,NA,NA,3.25356799462169,NA,1076.58,1481240,699382,1892165,NA,NA,2.738,NA,NA,NA,NA,NA,NA,43.7614431152278,NA,NA,NA,664604,1832542
"245","Canada",2001,644900,NA,NA,1.99015413560657,NA,1108.05,1536890,709074,1929822,NA,NA,2.507,NA,NA,NA,NA,NA,NA,41.9613635328488,NA,NA,NA,699382,1892165
"246","Canada",2002,640526,NA,NA,1.5020556300011,NA,1152.91,1532310,732692,1958809,NA,NA,2.276,NA,NA,NA,NA,NA,NA,41.8013326285151,NA,NA,NA,709074,1929822
"247","Canada",2003,629638,NA,NA,1.01352403424735,NA,1213.18,1593830,746491,1978662,NA,NA,2.742,NA,NA,NA,NA,NA,NA,39.5047150574403,NA,NA,NA,732692,1958809
"248","Canada",2004,628830,NA,NA,3.86412636417943,NA,1290.91,1743040,769405,2055120,NA,NA,1.841,NA,NA,NA,NA,NA,NA,36.0766247475675,NA,NA,NA,746491,1978662
"249","Canada",2005,626217,NA,NA,2.73920744287439,NA,1373.85,1945720,792964,2111414,NA,NA,2.23,NA,NA,NA,NA,NA,NA,32.1843327919742,NA,NA,NA,769405,2055120
"250","Canada",2006,619701,NA,NA,2.28088854199129,NA,1449.22,2159570,814835,2159573,NA,NA,2.018,NA,NA,NA,NA,NA,NA,28.6955736558667,NA,NA,NA,792964,2111414
"251","Canada",2007,618765,NA,NA,3.13409178573727,NA,1532.94,2277110,NA,2227256,NA,NA,2.123,NA,NA,NA,NA,NA,NA,27.1732590871763,NA,NA,NA,814835,2159573
"252","Canada",2008,594390,NA,NA,2.13213029844797,NA,1600.08,2548320,NA,2274744,NA,NA,2.385,NA,NA,NA,NA,NA,NA,23.3247786777171,NA,NA,NA,NA,2227256
"253","Canada",2009,719627,NA,NA,-1.90667609190309,NA,1523.67,2379940,NA,2231372,NA,NA,0.147,NA,NA,NA,NA,NA,NA,30.2371908535509,NA,NA,NA,NA,2274744
"299","Denmark",1999,NA,NA,NA,2.56044153523098,NA,NA,1213470,118399,1249.86,NA,NA,2.49,738600,708.3,NA,NA,NA,NA,60.8667705011249,NA,NA,NA,115447,1218.657
"300","Denmark",2000,NA,NA,NA,3.52871521610421,NA,NA,1293960,122628,1293.964,NA,NA,2.919,711200,715.6,NA,NA,NA,NA,54.9630591362948,NA,NA,NA,118399,1249.86
"301","Denmark",2001,NA,NA,NA,0.70488823491226,NA,NA,1335610,123502,1303.085,NA,NA,2.361,694800,697.3,NA,NA,NA,NA,52.0211738456585,NA,NA,NA,122628,1293.964
"302","Denmark",2002,NA,NA,NA,0.465817655793743,NA,NA,1372740,124062,1309.155,NA,NA,2.418,708600,719.4,NA,NA,NA,NA,51.6193889593077,NA,NA,NA,123502,1303.085
"303","Denmark",2003,NA,NA,NA,0.383758989577254,NA,NA,1400690,124543,1314.179,NA,NA,2.088,694900,767.713,NA,NA,NA,NA,49.6112630203685,NA,NA,NA,124062,1309.155
"304","Denmark",2004,NA,NA,NA,2.29649081289534,NA,NA,1466180,127175,1344.359,NA,NA,1.156,688500,812.123,NA,NA,NA,NA,46.9587635897366,NA,NA,NA,124543,1314.179
"305","Denmark",2005,NA,NA,NA,2.44518019368338,NA,NA,1545260,131082,1377.231,NA,NA,1.811,607160,886.254,NA,NA,NA,NA,39.291769669829,NA,NA,NA,127175,1344.359
"306","Denmark",2006,NA,NA,NA,3.34395609741576,NA,NA,1628630,135711,1423.285,NA,NA,1.9,534241,918.911,NA,NA,NA,NA,32.8030921694922,NA,NA,NA,131082,1377.231
"307","Denmark",2007,NA,NA,NA,1.64654303249172,NA,NA,1687890,NA,1446.72,NA,NA,1.712,470682,939.988,NA,NA,NA,NA,27.8858219433731,NA,NA,NA,135711,1423.285
"308","Denmark",2008,NA,NA,NA,-1.20182205264322,NA,NA,1734650,NA,1429.333,NA,NA,3.399,562601,966.197,NA,NA,NA,NA,32.4331133081601,NA,NA,NA,NA,1446.72
"309","Denmark",2009,NA,NA,NA,-2.43302295546245,NA,NA,1674260,NA,1394.557,NA,NA,1.68,631556,1029.953,NA,NA,NA,NA,37.7215008421631,NA,NA,NA,NA,1429.333
"363","Finland",1999,NA,NA,NA,3.92114760461486,NA,617553.25,122685.02,97261,125835,NA,NA,1.32,NA,68052,68052,122685,NA,125960,55.4688746841301,NA,NA,NA,93640,121087
"364","Finland",2000,NA,NA,NA,5.05662176659911,NA,677319.72,132198.06,102185,132198,NA,NA,2.95,NA,63236,63236,132198,NA,132272,47.8342874320546,NA,NA,NA,97261,125835
"365","Finland",2001,NA,NA,NA,2.70503335905232,NA,704580.9,139789.06,104880,135774,NA,NA,2.66,NA,61760,61760,139789,NA,135759,44.1808536376166,NA,NA,NA,102185,132198
"366","Finland",2002,NA,NA,NA,1.5732025277299,NA,143.97,143808.08,106570,137910,NA,NA,2,NA,59253,59253,143808,NA,137989,41.2028308840505,NA,NA,NA,104880,135774
"367","Finland",2003,NA,NA,NA,1.81060111667029,NA,145.94,145795.05,108490,140407,NA,NA,1.3,NA,63320,63320,145795,NA,140437,43.4308297846875,NA,NA,NA,106570,137910
"368","Finland",2004,NA,NA,NA,3.69639690328829,NA,151.94,152151.04,112500,145597,NA,NA,0.14,NA,63788,63788,152151,NA,145363,41.9241301275364,NA,NA,NA,108490,140407
"369","Finland",2005,NA,NA,NA,2.76791417405577,NA,157.38,157070.03,115800,149627,NA,NA,0.78,NA,60044,60044,157070,NA,149616,38.227534558948,NA,NA,NA,112500,145597
"370","Finland",2006,NA,NA,NA,4.92290829863593,NA,NA,167008.93,121580,156993,NA,NA,1.28,NA,58895,58895,167009,NA,NA,35.2645813610087,NA,NA,NA,115800,149627
"371","Finland",2007,NA,NA,NA,4.20273515379666,NA,NA,179658.34,NA,163591,NA,NA,1.58,NA,56068,56068,179659,NA,NA,31.2081253784266,NA,NA,NA,121580,156993
"372","Finland",2008,NA,NA,NA,1.04101081355332,NA,NA,184728,NA,165294,NA,NA,3.9,NA,54382,54382,184728,NA,NA,29.4389589017366,NA,NA,NA,NA,163591
"373","Finland",2009,NA,NA,NA,-6.35594758430433,NA,NA,176448,NA,154788,NA,NA,1,NA,58968,58968,176448,NA,NA,33.4194776931447,NA,NA,NA,NA,165294
"417","France",1999,NA,NA,NA,2.02577059008238,NA,8973260,1240430,NA,1832542,NA,NA,0.562,NA,804500,804500,1367966,NA,NA,64.856541683126,NA,NA,NA,NA,1796156
"418","France",2000,NA,NA,NA,3.25356799462169,NA,9454790,1481240,NA,1892165,NA,NA,1.827,NA,826400,826400,1441372,NA,NA,55.7910939483136,NA,NA,NA,NA,1832542
"419","France",2001,NA,NA,NA,1.99015413560657,NA,9820890,1536890,NA,1929822,NA,NA,1.781,NA,851600,851600,1497185,NA,NA,55.4106019298714,NA,NA,NA,NA,1892165
"420","France",2002,NA,NA,NA,1.5020556300011,NA,10157900,1532310,NA,1958809,NA,NA,1.938,NA,910900,910900,1548555,NA,NA,59.4461956131592,NA,NA,NA,NA,1929822
"421","France",2003,NA,NA,NA,1.01352403424735,NA,10461300,1593830,NA,1978662,NA,NA,2.169,NA,1003400,1003400,1594814,NA,NA,62.9552712648149,NA,NA,NA,NA,1958809
"422","France",2004,NA,NA,NA,3.86412636417943,NA,10890100,1743040,NA,2055120,NA,NA,2.342,NA,1076900,1076900,1660189,NA,NA,61.7828621259409,NA,NA,NA,NA,1978662
"423","France",2005,NA,NA,NA,2.73920744287439,NA,11322300,1945720,NA,2111414,NA,NA,1.9,NA,1145400,1145400,1726068,NA,NA,58.8676685237341,NA,NA,NA,NA,2055120
"424","France",2006,NA,NA,NA,2.28088854199129,NA,11849400,2159570,NA,2159573,NA,NA,1.912,NA,1149900,1149900,1806430,NA,NA,53.246711150831,NA,NA,NA,NA,2111414
"425","France",2007,NA,NA,NA,3.13409178573727,NA,12428100,2277110,NA,2227256,NA,NA,1.607,NA,1208800,1208800,1894646,NA,NA,53.0848312114918,NA,NA,NA,NA,2159573
"426","France",2008,NA,NA,NA,2.13213029844797,NA,12791700,2548320,NA,2274744,NA,NA,3.159,NA,1314100,1314100,1950085,NA,NA,51.5673070885917,NA,NA,NA,NA,2227256
"427","France",2009,NA,NA,NA,-1.90667609190309,NA,NA,2379940,NA,2231372,NA,NA,0.337,NA,1428000,1428000,NA,NA,NA,60.0015126431759,NA,NA,NA,NA,2274744
"476","Germany",1999,NA,NA,NA,1.93168560720931,NA,3935130,2012,1508538,1999.917,NA,NA,0.635,NA,708.3,NA,NA,NA,NA,35.2037773359841,NA,NA,NA,1478795,1962.017
"477","Germany",2000,NA,NA,NA,3.22428380777804,NA,4033900,2062.5003,1556928,2064.4,NA,NA,1.4,NA,715.6,NA,NA,NA,NA,34.6957525291027,NA,NA,NA,1508538,1999.917
"478","Germany",2001,NA,NA,NA,1.15079441968611,NA,4132980,2113.1591,1576223,2088.157,NA,NA,1.904,NA,697.3,NA,NA,NA,NA,32.9979886512095,NA,NA,NA,1556928,2064.4
"479","Germany",2002,NA,NA,NA,0.00627347464772221,NA,4191700,2143.1822,1576223,2088.288,NA,NA,1.355,NA,719.4,NA,NA,NA,NA,33.566908123817,NA,NA,NA,1576223,2088.157
"480","Germany",2003,NA,NA,NA,-0.231146278674221,NA,4232020,2163.7975,1572784,2083.461,NA,NA,1.031,NA,767.713,NA,NA,NA,NA,35.4798912559978,NA,NA,NA,1576223,2088.288
"481","Germany",2004,NA,NA,NA,1.17621592148835,NA,4324140,2210.8977,1589449,2107.967,NA,NA,1.79,NA,812.123,NA,NA,NA,NA,36.7327262586595,NA,NA,NA,1572784,2083.461
"482","Germany",2005,NA,NA,NA,0.732079771647265,NA,4387320,2243.2011,1601942,2123.399,NA,NA,1.92,NA,886.254,NA,NA,NA,NA,39.5084506690015,NA,NA,NA,1589449,2107.967
"483","Germany",2006,NA,NA,NA,3.17589864175314,NA,4540460,2321.5003,1647840,2190.836,NA,NA,1.784,NA,918.911,NA,NA,NA,NA,39.5826354190004,NA,NA,NA,1601942,2123.399
"484","Germany",2007,NA,NA,NA,2.51648229260428,NA,4738780,2428.2,NA,2245.968,NA,NA,2.276,NA,939.988,NA,NA,NA,NA,38.7113087884029,NA,NA,NA,1647840,2190.836
"485","Germany",2008,NA,NA,NA,1.24810326772242,NA,4866140,2495.8,NA,2274,NA,NA,2.754,NA,966.197,NA,NA,NA,NA,38.7129177017389,NA,NA,NA,NA,2245.968
"486","Germany",2009,NA,NA,NA,-5.29683377308706,NA,NA,2355.86,NA,2153.55,NA,NA,0.135,NA,1029.953,NA,NA,NA,NA,43.7187693666007,NA,NA,NA,NA,2274
"516","Greece",1999,44393.3,NA,NA,3.42,NA,42987400,123459,NA,NA,NA,NA,2.145,NA,NA,NA,NA,NA,NA,103.561,NA,NA,NA,NA,NA
"517","Greece",2000,48823.3,NA,NA,4.477,NA,46437800,136281,NA,NA,NA,NA,2.897,NA,NA,NA,NA,NA,NA,108.926,NA,NA,NA,NA,NA
"518","Greece",2001,155597.2,NA,NA,4.197,NA,49895300,146428,NA,NA,NA,NA,3.654,NA,NA,NA,NA,NA,NA,109.684,NA,NA,NA,NA,NA
"519","Greece",2002,171939.1,NA,NA,3.439,NA,53366600,156615,NA,NA,NA,NA,3.915,NA,NA,NA,NA,NA,NA,109.199,NA,NA,NA,NA,NA
"520","Greece",2003,183679,NA,NA,5.582,NA,58755900,171410,NA,NA,NA,NA,3.435,NA,NA,NA,NA,NA,NA,106.407,NA,NA,NA,NA,NA
"521","Greece",2004,202212,NA,NA,4.916,NA,63315800,185851,NA,NA,NA,NA,3.022,NA,NA,NA,NA,NA,NA,108.282,NA,NA,NA,NA,NA
"522","Greece",2005,216698,NA,NA,2.898,NA,66571000,197645,NA,NA,NA,NA,3.484,NA,NA,NA,NA,NA,NA,108.991,NA,NA,NA,NA,NA
"523","Greece",2006,227325,NA,NA,4.497,NA,71714200,213207,NA,NA,NA,NA,3.314,NA,NA,NA,NA,NA,NA,106.103,NA,NA,NA,NA,NA
"524","Greece",2007,240708,NA,NA,4.036,NA,77158400,228180,NA,NA,NA,NA,2.991,NA,NA,NA,NA,NA,NA,105.03,NA,NA,NA,NA,NA
"525","Greece",2008,262381,NA,NA,2.933,NA,81487300,242946,NA,NA,NA,NA,4.236,NA,NA,NA,NA,NA,NA,107.872,NA,NA,NA,NA,NA
"526","Greece",2009,58968,NA,NA,-0.753,NA,NA,246293,NA,NA,NA,NA,1.133,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"579","Ireland",1999,39850,NA,NA,10.7,NA,71363.1,90612.445,74709,125835,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.9785064844018,90378,NA,NA,67719,121087
"580","Ireland",2000,36512,NA,NA,9.4,NA,82560.5,104830.211,81716,132198,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8296542110365,104830,NA,NA,74709,125835
"581","Ireland",2001,36183,NA,NA,5.7,NA,92090.3,116930.561,86691,135774,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9440061610583,116931,NA,NA,81716,132198
"582","Ireland",2002,36361,NA,NA,6.5,NA,102587,130258.62,92412,137910,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9144673880316,130258,NA,NA,86691,135774
"583","Ireland",2003,37611,NA,NA,4.4,NA,110072,139762.61,96537,140407,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9106308189293,139763,NA,NA,92412,137910
"584","Ireland",2004,37846,NA,NA,4.6,NA,117424,149097.724,100745,145597,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3833519282964,149098,NA,NA,96537,140407
"585","Ireland",2005,38182,NA,NA,6.2,NA,127657,162090.954,106840,149627,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5559104674034,162091,NA,NA,100745,145597
"586","Ireland",2006,35917,NA,NA,5.4,NA,139209,176758.968,112934,156993,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3197610884445,176759,NA,NA,106840,149627
"587","Ireland",2007,37559,NA,NA,6,NA,149441,189750.928,NA,163591,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7938425892705,189751,NA,NA,112934,156993
